feature,marginal_corr_log_price,partial_corr_given_log_living_and_city
view,0.3271623248440241,0.212873701174416
waterfront,0.14888588482808215,0.16606921357931137
bathrooms,0.5433402965210167,0.10499340862749984
condition,0.060219238795885414,0.10232959314229957
floors,0.3028850216762165,0.09165042416630625
property_age,-0.06411526453307138,0.05519041504480595
log_sqft_lot,0.1236139955609332,0.014017841742114427
has_basement,0.19593731700031944,-0.09415338169042324
sqft_basement,0.3140543939451396,-0.10650226593610808
bedrooms,0.36211596221324915,-0.12109439376396586
