k,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_share,mean_resampling_ari,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,minimum_cluster_share_rank,mean_resampling_ari_rank,composite_rank
2,0.2455406033257218,1.6284630451754267,1114.0866274305242,0.4283723522853958,0.9877859918927777,7.0,7.0,2.0,1.0,6.0,4.6
3,0.2769947490029892,1.3914606630267758,1146.6734896507912,0.2831661092530658,0.9934187537834307,4.0,6.0,1.0,2.0,3.0,3.2
4,0.28601827657492873,1.3771968667123409,1060.716597120903,0.20903010033444816,0.9958281353689291,3.0,5.0,3.0,3.0,1.0,3.0
5,0.27694830280440125,1.3577813356354003,990.3934174517456,0.14910813823857302,0.9956144894104924,5.0,4.0,4.0,4.0,2.0,3.8
6,0.2707688438190629,1.3020413166485902,964.6632182041184,0.09253065774804906,0.9917433007700893,6.0,3.0,5.0,5.0,5.0,4.8
7,0.29507193613391247,1.2674675037720875,940.0291897968485,0.06633221850613155,0.9925329548252163,2.0,2.0,6.0,6.0,4.0,4.0
8,0.2984799982330587,1.2547517527527257,889.9104692964027,0.05741360089186176,0.924862145771038,1.0,1.0,7.0,7.0,7.0,4.6
