log_fitted_decile,residual_iqr,median_abs_residual
1,0.5850629248807095,0.3064091036262919
2,0.606349522134674,0.3010117942666293
3,0.5170312895373037,0.2559392657341135
4,0.5628794667488508,0.26500784709085146
5,0.5540938046620747,0.27411470962601925
6,0.5504076231390833,0.2530721754210301
7,0.5503416935337411,0.2602498182684023
8,0.4538838494646136,0.2181714083842845
9,0.47818730126646036,0.23171748131837777
10,0.5138331283137108,0.2839967393162759
