raw_fitted_decile,residual_iqr,median_abs_residual
1,171917.1434631841,85760.97159673972
2,200734.59507648426,92111.04753824213
3,186833.4286926368,94323.60140753892
4,228270.85717315922,114460.22398758863
5,229417.0029242288,129250.28607791045
6,244768.38688456055,144400.4609139568
7,280531.3092106882,157945.63288984087
8,257772.0950764842,132556.10827226203
9,339965.19036508293,173414.79834816908
10,532225.5280114097,269553.81964897853
