feature,pearson_raw_price,pearson_log_price,spearman_price
sqft_living,0.6080843719321282,0.6706517044423665,0.6542951831133275
sqft_above,0.5186349275945273,0.582531969539018,0.5488584649897424
bathrooms,0.44997154122219263,0.5433402965210167,0.5076780380013487
bedrooms,0.2903296997395749,0.36211596221324915,0.3656702348458135
view,0.3316527401656874,0.3271623248440241,0.2829497082943704
sqft_basement,0.3021401115416311,0.3140543939451396,0.23872517629725887
floors,0.21143079432608441,0.3028850216762165,0.32372976783116225
has_basement,0.15474326934244642,0.19593731700031944,0.18262595140980992
waterfront,0.22039907672358489,0.14888588482808215,0.10207492865991191
log_sqft_lot,0.1389098428271765,0.1236139955609332,0.08105270891015665
yr_built,0.026307198999385568,0.0641152645330714,0.0859010575754649
condition,0.03733176615697591,0.060219238795885414,0.032567369420906316
property_age,-0.026307198999385537,-0.06411526453307138,-0.0859010575754649
