meta_source_row_id,meta_sale_date,price,leverage,studentized_residual,cooks_distance,high_leverage_2p_n,cooks_over_4_n
24,2014-05-02,612500.0,0.04602477881521061,0.2804582955653776,3.1623501137331975e-05,False,False
28,2014-05-02,698000.0,0.02333746181292451,-0.0076915988892986425,1.1780428848153173e-08,False,False
18,2014-05-02,367500.0,0.018261858146881867,-0.5456389517160987,4.615075247301079e-05,False,False
4310,2014-05-02,436110.0,0.015323204502875859,-0.9547251156445166,0.0001182037740699039,False,False
43,2014-05-02,308500.0,0.02783158260526719,0.8090565121203432,0.000156161101680703,False,False
4340,2014-05-02,440000.0,0.01609833747393824,-0.6891161531574448,6.474898235043091e-05,False,False
20,2014-05-02,275000.0,0.027764588705476802,0.15531106319707202,5.740415766891832e-06,False,False
62,2014-05-02,459990.0,0.03910975809674476,-0.19399312658087997,1.2764469968416768e-05,False,False
16,2014-05-02,242500.0,0.025334705610120134,0.492162301916756,5.246815635784155e-05,False,False
31,2014-05-02,382500.0,0.01473900198108935,-0.22681336105542582,6.413170826838843e-06,False,False
17,2014-05-02,419000.0,0.03352269121199508,-0.6781540236846081,0.0001329298927599942,False,False
50,2014-05-02,838000.0,0.01444386065044495,-0.4278449781460007,2.235597183243615e-05,False,False
46,2014-05-02,315000.0,0.027924102814649347,0.0958959559940673,2.2013971178113295e-06,False,False
19,2014-05-02,257950.0,0.028028050037149643,0.6691978906754931,0.00010761356851267445,False,False
34,2014-05-02,625000.0,0.047117377086382195,0.24713297758265032,2.5166444138084918e-05,False,False
39,2014-05-02,403000.0,0.0573090375217202,-0.6983329642064557,0.00024705725468153006,False,False
13,2014-05-02,588500.0,0.018020396672475972,0.08363880171523773,1.069784343453693e-06,False,False
1,2014-05-02,313000.0,0.023927047284329206,0.051947272762564486,5.512531539394543e-07,False,False
55,2014-05-02,470000.0,0.04635934597657293,0.35915650086382545,5.2256312588470295e-05,False,False
32,2014-05-02,499950.0,0.02676053517658915,-0.5069326553710771,5.888360271482858e-05,False,False
42,2014-05-02,260000.0,0.04695704155584013,-0.10208112172520313,4.278562412572676e-06,False,False
25,2014-05-02,495000.0,0.01610623848074136,1.2939449298976031,0.00022840008373028602,False,False
38,2014-05-02,287200.0,0.02110007151167794,-0.3308295206584882,1.9659519351859003e-05,False,False
29,2014-05-02,675000.0,0.022958485012842034,-0.31655882071965297,1.9622656505883378e-05,False,False
8,2014-05-02,482000.0,0.01766762958011407,0.6442775791609918,6.221349793962293e-05,False,False
14,2014-05-02,365000.0,0.021639071231860846,1.4957647602920456,0.00041236791243134024,False,False
47,2014-05-02,437500.0,0.016557785314865486,-0.5344896883163868,4.00821322423047e-05,False,False
7,2014-05-02,335000.0,0.016579946723618455,-0.8493844468709816,0.0001013611276403389,False,False
3,2014-05-02,342000.0,0.025091175644735286,0.5621454163570268,6.777555940733958e-05,False,False
49,2014-05-02,445700.0,0.02666248116016348,-0.10689262990918821,2.608262970903713e-06,False,False
51,2014-05-02,630000.0,0.016596658433943395,-0.10760998546623798,1.62859417038311e-06,False,False
