fold,model,segment,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
fold_1,dummy_mean,above_training_p90,645058.3020551149,706327.734442585,545376.0179642059,-5.025446501243329,0.7898878045603216,0.543352365259621,-645058.3020551149,0
fold_1,dummy_mean,above_training_p99,2209804.5893927775,2261467.3010931695,2157876.0179642057,-21.139731409651795,1.6188564664438825,0.8030021608611853,-2209804.5893927775,0
fold_1,dummy_mean,at_or_below_training_p90,173522.54208023974,202944.67359340924,167123.98203579406,-0.3308996526179804,0.5271180681334824,0.39353730048198504,101193.62583393484,0
fold_1,dummy_median,above_training_p90,712182.2840909091,768116.046678828,612500.0,-6.125746890069387,0.9174056767131061,0.5998929512633911,-712182.2840909091,0
fold_1,dummy_median,above_training_p99,2276928.5714285714,2327101.5770696388,2225000.0,-22.443497486306867,1.7503842017043778,0.8273937757935993,-2276928.5714285714,0
fold_1,dummy_median,at_or_below_training_p90,149988.27059760957,179184.62896981207,145000.0,-0.03750811015057631,0.46637793796687976,0.34016317653789413,34069.64379814077,0
fold_1,elastic_log_both_9,above_training_p90,318891.17248229164,379454.0456668211,285565.4436410287,-0.7389820171626096,0.37509019011772227,0.26861180187378236,-225700.52030657473,0
fold_1,elastic_log_both_9,above_training_p99,1340475.406713323,1479074.917353587,1406427.8285718816,-8.470481654524352,0.7391565326528107,0.4871039970406863,-1340475.406713323,0
fold_1,elastic_log_both_9,at_or_below_training_p90,101247.68746725938,163652.53873254434,76197.89830863976,0.13456293648680406,0.3247932628458737,0.2296228554989938,24148.29221822514,0
fold_1,extra_trees_log_9,above_training_p90,322490.487558203,382824.6995838374,293594.31431684067,-0.7700136544078695,0.379048907338839,0.271643615205353,-252650.81667696286,0
fold_1,extra_trees_log_9,above_training_p99,1305139.652028156,1415395.2619985633,1350924.9474881825,-7.672557694012596,0.6911507347449011,0.4742636366287067,-1305139.652028156,0
fold_1,extra_trees_log_9,at_or_below_training_p90,102072.64758846044,166924.43436870913,68456.5647075235,0.0996117407683621,0.3253258388304018,0.23149380883572301,30667.78127072483,0
fold_1,gradient_boosting_log_9,above_training_p90,450806.3232325131,518153.3563447785,407427.8396345965,-2.242599767090676,0.5250396779496717,0.3797279737691843,-448732.97265810333,0
fold_1,gradient_boosting_log_9,above_training_p99,1798255.4032662096,1856419.6405448092,1706793.6221299865,-13.919148326357352,1.0601487161851162,0.6534527901400818,-1798255.4032662096,0
fold_1,gradient_boosting_log_9,at_or_below_training_p90,109497.8247380294,141654.82698371267,88498.79273699078,0.3515854482881795,0.3525661508075922,0.24833360461102158,21797.830934441394,0
fold_1,hist_gradient_boosting_log_9,above_training_p90,304015.9154582451,363179.99405686144,271587.38240805716,-0.593017512878389,0.3596795124907526,0.2560819172693828,-212636.15480666392,0
fold_1,hist_gradient_boosting_log_9,above_training_p99,1381856.8802262156,1445515.2001520651,1386311.171144847,-8.045593108878663,0.7156160671909444,0.5021412599778602,-1381856.8802262156,0
fold_1,hist_gradient_boosting_log_9,at_or_below_training_p90,103211.24654493417,163350.81507064254,72244.70298385038,0.13775118065206626,0.32683609562199045,0.23407607367745795,29636.820658427077,0
fold_1,huber_log_both_9,above_training_p90,301242.05971243454,381759.01068042073,250240.25364567863,-0.7601728137336021,0.37817560814211065,0.2537454136144831,-231426.9802533171,0
fold_1,huber_log_both_9,above_training_p99,1468721.6188961514,1605633.9420746032,1462564.1258384367,-10.160529590269894,0.8455554992113535,0.5337063011536357,-1468721.6188961514,0
