scenario,n,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
official_all_holdout_rows,963,112603.53304481503,864767.4637092677,46111.104603969376,0.10700954314430822,0.26045818136097243,0.1906475888859793,-44739.64059249554,0
sensitivity_excluding_largest_actual_price,962,85323.66941698354,162885.31941455352,46092.8600354903,0.8033358181238262,0.21125863123007474,0.15138759578757088,-17389.232377915258,0
