metric,reference,warning_multiplier,critical_multiplier,warning_threshold,critical_threshold
overall_mae,112603.53304481503,1.25,1.5,140754.4163060188,168905.29956722254
median_absolute_error,46111.104603969376,1.25,1.5,57638.88075496172,69166.65690595406
wape,0.1906475888859793,1.25,1.5,0.23830948610747413,0.28597138332896893
rmsle,0.26045818136097243,1.25,1.5,0.3255727267012155,0.39068727204145864
